DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2018,22.04649,,PCNT: %,,,,,,,,DHS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2018,16.05212,,PCNT: %,,,,,,,,DHS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2018,19.109541,,PCNT: %,,,,,,,,DHS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2018,48.626709,,PCNT: %,,,,,,,,DHS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2018,33.93964,,PCNT: %,,,,,,,,DHS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2018,41.61478,,PCNT: %,,,,,,,,DHS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2019,12.57105,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2019,14.03295,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2019,13.31035,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2019,4.3049488,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2019,6.5270038,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2019,5.363203,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2019,10.15851,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2019,15.06687,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2019,12.26978,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2019,5.1652322,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2019,7.5470662,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2019,6.217989,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2019,30.182819,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2019,18.27257,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2019,24.15966,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2019,63.468071,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2019,32.752522,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2019,48.83979,,PCNT: %,,,,,,,,MICS 2018-19,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2019,11.97575,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2019,16.600031,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2019,14.32042,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2019,4.8575859,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2019,8.3924627,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2019,6.6605349,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2019,9.0356951,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2019,17.82753,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2019,13.19732,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2019,2.7045281,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2019,6.7123079,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2019,4.4250321,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2019,58.047482,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2019,47.218201,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2019,52.556648,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2019,73.705437,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2019,53.932308,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2019,63.620232,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2017,60.799999,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2017,58.799999,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2017,59.799999,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2017,76.400002,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2017,72.400002,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2017,74.300003,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2017,96.90509,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2017,94.346909,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2017,95.600967,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2017,88.080391,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2017,83.068703,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2017,85.579773,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2017,0.60000002,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2017,0.40000001,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2017,0.5,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2017,2.5999999,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2017,2.5,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2017,2.5,,PCNT: %,,,,,,,,CASEN 2017,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2018,79.374847,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2018,79.785591,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2018,79.595047,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2018,52.757801,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2018,39.4408,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2018,45.93264,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2018,75.538803,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2018,70.457947,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2018,72.890152,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2018,60.406818,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2018,55.818001,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2018,57.958618,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2018,2.8940561,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2018,2.322978,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2018,2.587903,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2018,7.7773161,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2018,10.94264,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2018,9.3995876,,PCNT: %,,,,,,,,MICS 2018,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2019,95.723412,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2019,93.722,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2019,94.620277,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2019,77.833992,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2019,69.460213,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2019,73.453003,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2019,95.093628,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2019,93.281937,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2019,94.091927,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2019,63.468102,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2019,54.493649,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2019,58.634781,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2019,1.593021,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2019,2.7560761,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2019,2.2340729,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2019,17.59066,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2019,24.285061,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2019,21.093031,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2016,37.553391,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2016,42.827068,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2016,40.25758,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2016,13.53492,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2016,20.240379,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2016,16.80126,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2016,22,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2016,36,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2016,28.299999,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2017,14.6,,PCNT: %,,,,,,,,MICS 2016-17,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2017,17.200001,,PCNT: %,,,,,,,,MICS 2016-17,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2017,15.8,,PCNT: %,,,,,,,,MICS 2016-17,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2016,38.119308,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2016,27.22687,,PCNT: %,,,,,,,,MICS 2016,,,,,,_T: Total
